Rank,Journal,Total Cites,Journal Impact Factor,Eigenfactor Score
5701,JOURNAL OF TEACHING IN PHYSICAL EDUCATION,"1,740",1.731,0.000770
5701,Revista Portuguesa de Pneumologia,458,1.731,0.000870
5706,AMERICAN HISTORICAL REVIEW,"2,483",1.730,0.003150
5706,AUSTRAL ECOLOGY,"3,832",1.730,0.004050
5706,Accounting Horizons,"1,803",1.730,0.001790
5706,HEART & LUNG,"2,408",1.730,0.002960
5706,Nanomaterials and Nanotechnology,358,1.730,0.000710
5711,AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,"5,429",1.729,0.005360
5711,BIOLOGY OF SPORT,592,1.729,0.001080
5711,European Journal of Emergency Medicine,"1,401",1.729,0.002430
5711,JOURNAL OF SEA RESEARCH,"3,051",1.729,0.004400
5711,PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,"10,148",1.729,0.010260
5716,ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT,"2,254",1.728,0.001640
5716,JOURNAL OF INTERVENTIONAL CARDIOLOGY,"1,191",1.728,0.002320
5716,MICRON,"3,744",1.728,0.005170
5719,ACM Transactions on Internet Technology,482,1.727,0.000640
5719,FAMILY RELATIONS,"2,975",1.727,0.002710
5719,GEOCHEMICAL TRANSACTIONS,474,1.727,0.000430
5719,JOURNAL OF FLUENCY DISORDERS,"1,069",1.727,0.000830
5719,JOURNAL OF FLUENCY DISORDERS,"1,069",1.727,0.000830
5719,World Mycotoxin Journal,803,1.727,0.001280
5725,International Neurourology Journal,436,1.726,0.001050
5725,Journal of Chemistry,"2,759",1.726,0.006720
5727,Career Development International,"1,596",1.725,0.001370
5727,International Journal of Computerized Dentistry,412,1.725,0.000530
5727,NURSING RESEARCH,"3,699",1.725,0.002110
5727,NURSING RESEARCH,"3,699",1.725,0.002110
5731,BIOCHEMISTRY-MOSCOW,"3,857",1.724,0.004560
5731,European Journal of Social Theory,"1,239",1.724,0.001010
5731,Journal of Youth Studies,"1,546",1.724,0.002080
5731,MODERN LAW REVIEW,"1,370",1.724,0.001110
5735,Biomedical Journal,641,1.723,0.001990
5735,CHEMIE DER ERDE-GEOCHEMISTRY,"1,234",1.723,0.002230
5735,ISPRS International Journal of Geo-Information,"1,183",1.723,0.002450
5735,Journal of Physical Activity & Health,"3,885",1.723,0.008740
5735,TRIBOLOGY TRANSACTIONS,"3,243",1.723,0.002920
5735,WAVE MOTION,"2,090",1.723,0.003730
5741,Journal of Psychiatric Practice,996,1.722,0.001560
5741,Radiology and Oncology,706,1.722,0.001390
5741,Software and Systems Modeling,718,1.722,0.001890
5744,APPLIED ACOUSTICS,"4,739",1.721,0.006750
5744,BULLETIN OF ENTOMOLOGICAL RESEARCH,"3,583",1.721,0.002910
5744,GENERAL RELATIVITY AND GRAVITATION,"5,425",1.721,0.006110
5744,PHYTOCOENOLOGIA,503,1.721,0.000310
5748,EUROPEAN CYTOKINE NETWORK,"1,156",1.720,0.000740
5749,AMB Express,"1,260",1.719,0.003280
5749,JOURNAL OF TOXICOLOGICAL SCIENCES,"1,771",1.719,0.002390
5749,Journal of International Financial Markets Institutions & Money,"1,586",1.719,0.003190
5749,PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS,753,1.719,0.000990
5749,PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS,753,1.719,0.000990
5754,International Journal of Polymer Science,"1,256",1.718,0.002260
5754,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,"2,057",1.718,0.002720
5754,Oral Surgery Oral Medicine Oral Pathology Oral Radiology,"14,688",1.718,0.008520
5757,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,"2,112",1.717,0.002370
5758,CURRENT NEUROVASCULAR RESEARCH,917,1.716,0.001210
5759,JOURNAL OF CLUSTER SCIENCE,"1,632",1.715,0.001800
5760,CARDIOLOGY,"2,408",1.714,0.003370
5760,Croatian Journal of Forest Engineering,405,1.714,0.000640
5760,Journal of Hydrology and Hydromechanics,445,1.714,0.001050
5760,Psychology of Learning and Motivation,"1,706",1.714,0.001140
5760,Sport Exercise and Performance Psychology,293,1.714,0.000890
5765,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,"2,130",1.713,0.002510
5765,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,"2,130",1.713,0.002510
5765,Geomatics Natural Hazards & Risk,541,1.713,0.001060
5765,SYMBIOSIS,"1,138",1.713,0.001360
5769,CHINESE JOURNAL OF CHEMICAL ENGINEERING,"3,105",1.712,0.004150
5769,Hormones-International Journal of Endocrinology and Metabolism,987,1.712,0.001840
5771,JOURNAL OF ANIMAL SCIENCE,"28,224",1.711,0.021020
5771,JOURNAL OF MORPHOLOGY,"5,560",1.711,0.004240
5771,ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK,"3,099",1.711,0.006210
5774,HEALTH COMMUNICATION,"2,553",1.710,0.004560
5774,International Journal for Equity in Health,"2,358",1.710,0.006740
5774,JOURNAL OF LITERACY RESEARCH,638,1.710,0.000840
5777,JOURNAL OF SURVEYING ENGINEERING,552,1.709,0.000490
5777,Journal of Applied Oral Science,"1,613",1.709,0.002460
5779,JOURNAL OF ATMOSPHERIC CHEMISTRY,"1,751",1.708,0.000820
5779,Journal of Veterinary Cardiology,732,1.708,0.001450
5781,CHEMICAL PHYSICS,"12,361",1.707,0.008730
5781,Critical Care Nurse,887,1.707,0.001240
5781,Critical Care Nurse,887,1.707,0.001240
5781,ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA,"1,384",1.707,0.002220
5785,Advances in Manufacturing,221,1.706,0.000470
5785,JOURNAL OF CULTURAL HERITAGE,"2,451",1.706,0.002780
5785,JOURNALISM & MASS COMMUNICATION QUARTERLY,"2,033",1.706,0.001850
5785,POLITICAL STUDIES,"2,896",1.706,0.004750
5785,WOOD SCIENCE AND TECHNOLOGY,"3,254",1.706,0.002600
5790,CORONARY ARTERY DISEASE,"1,668",1.705,0.002830
5790,Clinical Child Psychology and Psychiatry,"1,103",1.705,0.001360
5790,Clinical Child Psychology and Psychiatry,"1,103",1.705,0.001360
5793,Atmosphere,792,1.704,0.002570
5793,European Journal of Trauma and Emergency Surgery,803,1.704,0.001970
5793,Journal of Otolaryngology-Head & Neck Surgery,"1,979",1.704,0.002050
5793,MOLECULAR PHYSICS,"12,562",1.704,0.012290
5793,Metals,"1,317",1.704,0.002750
5798,Arthropod Systematics & Phylogeny,278,1.703,0.000730
5798,JOURNAL OF COORDINATION CHEMISTRY,"4,396",1.703,0.003860
5798,MULTIMEDIA SYSTEMS,726,1.703,0.001090
5798,Pathogens and Global Health,596,1.703,0.002420
5802,ANAESTHESIA AND INTENSIVE CARE,"2,730",1.702,0.003080
5802,APHASIOLOGY,"2,523",1.702,0.002520
5802,JOURNAL OF FISH BIOLOGY,"13,693",1.702,0.010120
5802,Journal of Psychiatric and Mental Health Nursing,"2,354",1.702,0.002390
5802,Journal of Psychiatric and Mental Health Nursing,"2,354",1.702,0.002390
5802,PALAIOS,"3,077",1.702,0.002470
5802,Primary Care Diabetes,683,1.702,0.001740
5802,Review of International Economics,"1,126",1.702,0.002240
5810,Complementary Therapies in Clinical Practice,834,1.701,0.001460
5810,JOURNAL OF MICROBIOLOGICAL METHODS,"9,921",1.701,0.009010
5810,RENEWABLE AGRICULTURE AND FOOD SYSTEMS,"1,037",1.701,0.001360
5813,Biotechnology & Genetic Engineering Reviews,484,1.700,0.000310
5814,Brazilian Journal of Physical Therapy,"1,247",1.699,0.001820
5814,CHILD CARE HEALTH AND DEVELOPMENT,"3,455",1.699,0.005040
5814,CHILD CARE HEALTH AND DEVELOPMENT,"3,455",1.699,0.005040
5814,INTERNATIONAL JOURNAL OF ORAL & MAXILLOFACIAL IMPLANTS,"8,687",1.699,0.009060
5818,Journal of Genetic Counseling,"1,750",1.698,0.003880
5818,Journal of Genetic Counseling,"1,750",1.698,0.003880
5818,SIAM JOURNAL ON APPLIED MATHEMATICS,"6,976",1.698,0.008010
5821,ETHOLOGY,"4,487",1.697,0.004950
5821,JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS,"3,284",1.697,0.002800
5821,POLISH JOURNAL OF FOOD AND NUTRITION SCIENCES,838,1.697,0.000710
5824,ARTHROPOD STRUCTURE & DEVELOPMENT,"1,457",1.696,0.002080
5824,BRITISH EDUCATIONAL RESEARCH JOURNAL,"2,409",1.696,0.002440
5824,ECONOMIC MODELLING,"4,943",1.696,0.010530
5824,JOURNAL OF COMMUNICATION DISORDERS,"1,920",1.696,0.001680
5824,JOURNAL OF COMMUNICATION DISORDERS,"1,920",1.696,0.001680
5824,NEOPLASMA,"1,804",1.696,0.002430
5824,SYSTEMATIC AND APPLIED ACAROLOGY,847,1.696,0.002370
5831,RADIOLOGIC CLINICS OF NORTH AMERICA,"2,441",1.695,0.002180
5832,BIOLOGICAL & PHARMACEUTICAL BULLETIN,"10,850",1.694,0.007760
5832,International Journal of Applied Mathematics and Computer Science,"1,120",1.694,0.001760
5832,International Journal of Mental Health Systems,665,1.694,0.001360
5832,JOURNAL OF MUSIC THERAPY,774,1.694,0.000570
5836,JOURNAL OF MICROSCOPY,"6,621",1.693,0.005730
5836,Journal of Material Cycles and Waste Management,"1,199",1.693,0.001510
5836,PROBABILISTIC ENGINEERING MECHANICS,"2,306",1.693,0.002870
5839,BMC Surgery,"1,395",1.692,0.003570
5839,INTERNATIONAL UROLOGY AND NEPHROLOGY,"3,612",1.692,0.007080
5841,JOURNAL OF ADHESIVE DENTISTRY,"1,466",1.691,0.001620
5842,CURRENT ORGANIC SYNTHESIS,924,1.690,0.001300
5842,JOURNAL OF NONDESTRUCTIVE EVALUATION,985,1.690,0.001940
5842,Jornal de Pediatria,"1,595",1.690,0.002550
5845,Applied Sciences-Basel,"1,955",1.689,0.003200
5845,MOLECULAR AND CELLULAR PROBES,"1,711",1.689,0.001620
5845,Surgical Infections,"1,913",1.689,0.004200
5848,BIOMEDICAL CHROMATOGRAPHY,"4,070",1.688,0.005200
5848,MEDICAL AND VETERINARY ENTOMOLOGY,"2,975",1.688,0.002380
5850,EXPERIMENTAL HEAT TRANSFER,947,1.687,0.000590
5851,CHEMICAL PHYSICS LETTERS,"49,574",1.686,0.026020
5851,High Energy Density Physics,805,1.686,0.002230
5851,JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,"5,637",1.686,0.016020
5851,Journal of Financial Econometrics,895,1.686,0.002830
5851,TRANSPORTATION JOURNAL,532,1.686,0.000300
5851,Tropical Plant Biology,330,1.686,0.000590
5857,Journal of Cardiopulmonary Rehabilitation and Prevention,"1,602",1.685,0.002060
5857,Journal of Herbal Medicine,237,1.685,0.000530
5857,MEASUREMENT SCIENCE and TECHNOLOGY,"12,623",1.685,0.013870
5857,Ships and Offshore Structures,752,1.685,0.001070
5861,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,"6,912",1.684,0.003200
5861,Scandinavian Journal of Urology,518,1.684,0.001860
5863,Enterprise Information Systems,597,1.683,0.000770
5863,Journal of Foot and Ankle Research,892,1.683,0.001990
5863,SILVA FENNICA,"1,929",1.683,0.001580
5863,Theoretical Economics,495,1.683,0.008450
5867,CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS,"1,619",1.682,0.001850
5867,SIAM JOURNAL ON MATRIX ANALYSIS AND APPLICATIONS,"4,358",1.682,0.009860
5869,EXPERIMENTAL AGRICULTURE,"1,148",1.680,0.000930
5869,Journal of Ophthalmology,"1,928",1.680,0.006250
5871,PHYSICS AND CHEMISTRY OF MINERALS,"3,608",1.679,0.002470
5872,Attention Perception & Psychophysics,"3,171",1.678,0.007980
5872,Attention Perception & Psychophysics,"3,171",1.678,0.007980
5872,Journalism Practice,"1,119",1.678,0.002100
5875,BIOPHARMACEUTICS & DRUG DISPOSITION,"1,608",1.677,0.001930
5875,Islets,577,1.677,0.001160
5875,Journal of Infrared Millimeter and Terahertz Waves,"1,457",1.677,0.003750
5875,Psychological Services,947,1.677,0.002790
5879,Advances in Calculus of Variations,176,1.676,0.001780
5879,Biomedical Engineering Online,"2,694",1.676,0.004330
5879,Journal of Cultural Economics,677,1.676,0.000900
5882,FAMILY PRACTICE,"4,162",1.675,0.004910
5882,INSECTES SOCIAUX,"2,441",1.675,0.002150
5882,ONLINE INFORMATION REVIEW,"1,218",1.675,0.001300
5882,ONLINE INFORMATION REVIEW,"1,218",1.675,0.001300
5882,Research in Autism Spectrum Disorders,"3,039",1.675,0.007260
5887,MARINE AND FRESHWATER RESEARCH,"4,737",1.674,0.004780
5887,PATTERNS OF PREJUDICE,462,1.674,0.001080
5887,RESEARCH ON CHEMICAL INTERMEDIATES,"4,295",1.674,0.005700
5890,Building Simulation,654,1.673,0.001160
5890,INFANT MENTAL HEALTH JOURNAL,"1,889",1.673,0.002180
5890,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,"6,641",1.673,0.008690
5890,JOURNAL OF RESEARCH IN READING,"1,043",1.673,0.001370
5890,PLANT SPECIES BIOLOGY,654,1.673,0.000820
5895,ACM Journal on Emerging Technologies in Computing Systems,460,1.672,0.001330
5895,Journal of Consumer Culture,"1,257",1.672,0.001170
5895,Journal of Leadership & Organizational Studies,"1,228",1.672,0.001380
5898,Dementia-International Journal of Social Research and Practice,"1,087",1.671,0.002120
5898,JOURNAL OF STRATEGIC STUDIES,672,1.671,0.001510
5898,LUMINESCENCE,"1,965",1.671,0.002670
5898,Medicina Oral Patologia Oral y Cirugia Bucal,"2,621",1.671,0.003820
5902,JOURNAL OF PUBLIC HEALTH,"2,482",1.670,0.005580
5902,JOURNAL OF PUBLIC HEALTH,"2,482",1.670,0.005580
5902,Journal of Cardiovascular Medicine,"1,589",1.670,0.003660
5902,Journal of Wound Care,"2,062",1.670,0.002280
5902,Operative Neurosurgery,319,1.670,0.000980
5907,BIOMETRIKA,"20,174",1.669,0.013210
5907,INFANT BEHAVIOR & DEVELOPMENT,"3,572",1.669,0.003520
5907,Twin Research and Human Genetics,"1,843",1.669,0.005000
5910,EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,"1,290",1.667,0.001530
5910,EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,"1,290",1.667,0.001530
5910,HUMAN DEVELOPMENT,"1,431",1.667,0.001270
5910,International Theory,434,1.667,0.001970
5910,JOURNAL OF PSYCHOACTIVE DRUGS,"1,732",1.667,0.001940
5910,Journal of Electronic Commerce Research,758,1.667,0.000760
5910,NEW ZEALAND JOURNAL OF GEOLOGY AND GEOPHYSICS,"1,655",1.667,0.001930
5910,Qualitative Research in Psychology,"4,636",1.667,0.000690
5910,SOCIAL WORK,"1,973",1.667,0.001150
5910,Seminars in Oncology Nursing,771,1.667,0.001010
5910,Seminars in Oncology Nursing,771,1.667,0.001010
5921,ENVIRONMENTAL TECHNOLOGY,"5,987",1.666,0.006810
5921,SOLID-STATE ELECTRONICS,"7,227",1.666,0.005900
5923,JOURNAL OF CHILD NEUROLOGY,"6,006",1.665,0.009010
5923,JOURNAL OF FLUORESCENCE,"3,637",1.665,0.003770
5923,REVIEW OF PALAEOBOTANY AND PALYNOLOGY,"4,874",1.665,0.004020
5926,MINERALOGY AND PETROLOGY,"2,174",1.664,0.002180
5926,Oncology Letters,"8,967",1.664,0.021820
5928,EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,"7,119",1.663,0.004350
5928,EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,"7,119",1.663,0.004350
5928,Inland Waters,505,1.663,0.001640
5931,AMERICAN JOURNAL OF MEDICAL QUALITY,"1,271",1.662,0.003110
5931,Psychology of Religion and Spirituality,666,1.662,0.001240
5933,ENVIRONMENTAL ENTOMOLOGY,"7,712",1.661,0.005570
5933,International Journal of Precision Engineering and Manufacturing,"2,942",1.661,0.005970
5933,JOURNAL OF CLINICAL PHARMACY AND THERAPEUTICS,"2,626",1.661,0.003650
5933,STRESS AND HEALTH,"1,421",1.661,0.002560
5933,STRESS AND HEALTH,"1,421",1.661,0.002560
5938,BIOETHICS,"1,514",1.660,0.002490
5938,BIOETHICS,"1,514",1.660,0.002490
5938,CORROSION REVIEWS,369,1.660,0.000650
5938,IEEE Transactions on Components Packaging and Manufacturing Technology,"5,236",1.660,0.006490
5938,Journal of Civil Engineering and Management,"1,381",1.660,0.001840
5938,Journal of the Chinese Medical Association,"1,528",1.660,0.002320
5944,International Journal of Sediment Research,824,1.659,0.001320
5944,Journal of Consumer Behaviour,"1,642",1.659,0.001390
5946,GRANULAR MATTER,"1,960",1.658,0.003840
5946,International Journal of Information Security,526,1.658,0.000950
5946,Journal of Flow Chemistry,279,1.658,0.000800
5946,Language Culture and Curriculum,444,1.658,0.000520
5950,MALACOLOGIA,803,1.657,0.000460
5950,PAPERS IN REGIONAL SCIENCE,"1,843",1.657,0.002120
5952,ANNALS OF NUCLEAR MEDICINE,"2,133",1.656,0.003120
5952,ANTIQUITY,"3,041",1.656,0.002910
5952,Libyan Journal of Medicine,318,1.656,0.000490
5952,Politics,505,1.656,0.001300
5956,EUROPEAN JOURNAL OF ORAL SCIENCES,"3,558",1.655,0.002780
5956,Journal of Plant Interactions,728,1.655,0.001290
5956,LANGUAGE LEARNING,"3,644",1.655,0.003680
5956,Nuclear Engineering and Technology,"1,304",1.655,0.004000
5956,POLYMER-PLASTICS TECHNOLOGY AND ENGINEERING,"2,732",1.655,0.002740
5956,TRANSPLANT IMMUNOLOGY,"1,307",1.655,0.002170
5962,Animals,301,1.654,0.001050
5962,COMPUTING,"1,877",1.654,0.001510
5962,GEOLOGICAL JOURNAL,"1,711",1.654,0.001980
5965,AIP Advances,"6,675",1.653,0.021580
5965,Advances in Data Analysis and Classification,336,1.653,0.001610
5965,IRRIGATION SCIENCE,"1,996",1.653,0.002250
5965,Intensive and Critical Care Nursing,"1,249",1.653,0.001270
5965,Intensive and Critical Care Nursing,"1,249",1.653,0.001270
5970,ACTA HISTOCHEMICA,"2,134",1.652,0.003230
5970,Cardiovascular Ultrasound,"1,038",1.652,0.001940
5970,Conservation & Society,822,1.652,0.001590
5970,Israel Journal of Health Policy Research,261,1.652,0.001200
5970,PURE AND APPLIED GEOPHYSICS,"6,291",1.652,0.008130
5970,WELDING JOURNAL,"3,058",1.652,0.001470
5976,INVERTEBRATE SYSTEMATICS,820,1.651,0.001530
5976,JOURNAL OF MUSCULOSKELETAL & NEURONAL INTERACTIONS,"1,435",1.651,0.001880
5976,NEURAL COMPUTATION,"10,797",1.651,0.006650
5979,AUSTRALIAN AND NEW ZEALAND JOURNAL OF CRIMINOLOGY,676,1.650,0.000760
5979,BRAIN BEHAVIOR AND EVOLUTION,"2,427",1.650,0.001840
5979,JOURNAL OF ELASTICITY,"2,170",1.650,0.002410
5979,JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY,"4,723",1.650,0.006690
5983,Computational Intelligence and Neuroscience,"1,802",1.649,0.002490
5983,POETICS,"1,788",1.649,0.002180
5983,Sex Education-Sexuality Society and Learning,750,1.649,0.001210
5986,GROUND WATER MONITORING AND REMEDIATION,830,1.648,0.000800
5986,JOURNAL OF HEALTH COMMUNICATION,"3,695",1.648,0.007640
5986,REMEDIAL AND SPECIAL EDUCATION,"1,723",1.648,0.001960
5986,SOCIAL INDICATORS RESEARCH,"7,145",1.648,0.010190
5986,STEREOTACTIC AND FUNCTIONAL NEUROSURGERY,"1,703",1.648,0.002360
5991,ANIMAL REPRODUCTION SCIENCE,"7,186",1.647,0.005910
5991,JOURNAL OF GENE MEDICINE,"2,169",1.647,0.001370
5993,JOURNAL OF APPLIED GEOPHYSICS,"4,228",1.646,0.009600
5993,MACROMOLECULAR THEORY AND SIMULATIONS,"1,115",1.646,0.001130
5993,SCANDINAVIAN JOURNAL OF PUBLIC HEALTH,"4,673",1.646,0.005450
5993,SCANDINAVIAN JOURNAL OF PUBLIC HEALTH,"4,673",1.646,0.005450
5993,TECHNOLOGY IN CANCER RESEARCH & TREATMENT,"1,671",1.646,0.002360
5998,Advances in Meteorology,"1,444",1.645,0.004840
5998,EMPLOYEE RELATIONS,993,1.645,0.000750
5998,MINNESOTA LAW REVIEW,"1,015",1.645,0.001950
5998,Seminars in Pediatric Surgery,"1,509",1.645,0.003100
6002,ALLERGOLOGIA ET IMMUNOPATHOLOGIA,"1,139",1.644,0.001940
6002,POPULATION ECOLOGY,"1,132",1.644,0.001970
6004,DUKE LAW JOURNAL,"1,462",1.643,0.002240
6004,Signal Image and Video Processing,"1,410",1.643,0.003010
6004,TERRORISM AND POLITICAL VIOLENCE,"1,129",1.643,0.002030
6007,APPLIED SPECTROSCOPY,"8,315",1.642,0.005570
6007,CHEMOECOLOGY,979,1.642,0.001110
6007,HUMAN ECOLOGY,"2,613",1.642,0.002730
6007,Perspectives on Politics,"1,999",1.642,0.006430
6011,CONTRIBUTIONS TO ZOOLOGY,423,1.641,0.000690
6011,Chemosensory Perception,379,1.641,0.000780
6011,DECISION SCIENCES,"3,547",1.641,0.002070
6011,ECONOMICA,"2,249",1.641,0.003890
6011,GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE,982,1.641,0.000830
6011,Geotechnique Letters,480,1.641,0.002450
6011,Politics & Gender,703,1.641,0.001370
6018,Clinical Simulation in Nursing,978,1.640,0.001600
6018,Clinical Simulation in Nursing,978,1.640,0.001600
6018,IEEE COMPUTER GRAPHICS AND APPLICATIONS,"2,234",1.640,0.001650
6018,JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION,"1,180",1.640,0.001370
6018,JOURNAL OF CLINICAL NEUROSCIENCE,"7,352",1.640,0.013800
6018,MECHANICS RESEARCH COMMUNICATIONS,"2,898",1.640,0.004040
6024,Bioengineered,589,1.639,0.002000
6024,EURASIP Journal on Advances in Signal Processing,"4,315",1.639,0.006320
6024,Economics of Energy & Environmental Policy,211,1.639,0.000950
6024,HOUSING STUDIES,"1,868",1.639,0.002480
6024,Information Technology & People,673,1.639,0.000580
6024,JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,"3,316",1.639,0.004570
6030,JOURNAL OF MEMBRANE BIOLOGY,"4,002",1.638,0.003020
6030,KONA Powder and Particle Journal,437,1.638,0.000450
6032,Computers and Concrete,839,1.637,0.001230
6033,BioSocieties,516,1.636,0.001110
6033,Journal of Linguistic Anthropology,588,1.636,0.000630
6033,ROFO-FORTSCHRITTE AUF DEM GEBIET DER RONTGENSTRAHLEN UND DER BILDGEBENDEN VERFAHREN,"1,462",1.636,0.002200
6036,BMC MEDICAL IMAGING,815,1.635,0.001690
6036,CLINICAL AUTONOMIC RESEARCH,"1,493",1.635,0.001380
6036,CROP SCIENCE,"17,363",1.635,0.009500
6036,Information Technology & Management,501,1.635,0.000510
6036,JOURNAL OF CLINICAL NURSING,"9,521",1.635,0.011770
6036,JOURNAL OF CLINICAL NURSING,"9,521",1.635,0.011770
6036,JOURNAL OF REPRODUCTION AND DEVELOPMENT,"2,000",1.635,0.002720
6036,Nutrition Research and Practice,"1,151",1.635,0.002020
6044,Asian Pacific Journal of Tropical Medicine,"2,368",1.634,0.004850
6044,Ecological Complexity,"1,442",1.634,0.002410
6044,Energy Efficiency,"1,078",1.634,0.001630
6044,Energy Efficiency,"1,078",1.634,0.001630
6044,Mass Communication and Society,"1,247",1.634,0.001760
6049,Annals of Diagnostic Pathology,"1,372",1.633,0.002180
6049,BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,"1,822",1.633,0.002280
6049,JOURNAL OF NON-EQUILIBRIUM THERMODYNAMICS,532,1.633,0.000660
6049,Nonprofit Management & Leadership,913,1.633,0.000520
6053,HEREDITAS,"1,555",1.632,0.000430
6053,JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,"12,653",1.632,0.019460
6053,JOURNAL OF ECONOMETRICS,"15,790",1.632,0.026740
6053,JOURNAL OF ECONOMETRICS,"15,790",1.632,0.026740
6053,LEARNED PUBLISHING,458,1.632,0.000760
6053,PHILOSOPHICAL MAGAZINE,"13,501",1.632,0.009400
6053,REVISTA ESPANOLA DE ENFERMEDADES DIGESTIVAS,"1,374",1.632,0.001740
6053,VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,"5,869",1.632,0.005290
6061,International Studies Review,937,1.631,0.001990
6061,WASTE MANAGEMENT & RESEARCH,"3,654",1.631,0.002990
6063,Journal of the Institute of Mathematics of Jussieu,435,1.630,0.003810
6063,Mind Brain and Education,542,1.630,0.001300
6065,FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,"1,077",1.629,0.000870
6065,JOURNAL OF APPLIED ENTOMOLOGY,"2,898",1.629,0.002940
6067,Earth Science Informatics,326,1.628,0.000850
6067,INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY,"2,255",1.628,0.002480
6067,JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,"1,948",1.628,0.002420
6067,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,467,1.628,0.000840
6071,Journal of the Brazilian Society of Mechanical Sciences and Engineering,"1,481",1.627,0.002140
6072,AMERICAN JOURNAL OF HEALTH BEHAVIOR,"2,005",1.626,0.003280
6072,COLLEGE & RESEARCH LIBRARIES,"1,121",1.626,0.000840
6072,JOURNAL OF CAREER ASSESSMENT,"1,279",1.626,0.001770
6075,ACTA ETHOLOGICA,446,1.625,0.000930
6075,CHEMISTRY LETTERS,"13,933",1.625,0.011810
6075,EDUCATIONAL REVIEW,"1,077",1.625,0.000930
6075,Energy Sustainability and Society,327,1.625,0.000810
6075,INVERTEBRATE NEUROSCIENCE,361,1.625,0.000310
6075,International Journal of Transitional Justice,614,1.625,0.001040
6075,JOURNAL OF CELLULAR PLASTICS,740,1.625,0.000610
6075,LAW & SOCIETY REVIEW,"2,575",1.625,0.001710
6075,Microscopy,411,1.625,0.002050
6084,FISHERIES MANAGEMENT AND ECOLOGY,"1,530",1.624,0.002080
6084,JOURNAL OF THORACIC IMAGING,"1,311",1.624,0.002200
6084,Petroleum Science,649,1.624,0.001810
6087,AMERICAN JOURNAL OF PERINATOLOGY,"3,046",1.623,0.007050
6087,EXPERIMENTAL AND CLINICAL ENDOCRINOLOGY & DIABETES,"2,476",1.623,0.003020
6087,JOURNAL OF INTERNATIONAL MONEY AND FINANCE,"3,958",1.623,0.007530
6087,JOURNAL OF SOCIOLINGUISTICS,"1,061",1.623,0.001300
6087,Journal of Digestive Diseases,"1,314",1.623,0.003300
6087,Journal of Geographical Sciences,"1,849",1.623,0.002930
6093,Canadian Journal of Gastroenterology and Hepatology,"2,202",1.622,0.003700
6093,ENGINEERING OPTIMIZATION,"2,171",1.622,0.003240
6093,Mobile Media & Communication,226,1.622,0.000740
6093,THEORY CULTURE & SOCIETY,"3,854",1.622,0.004470
6097,ANNALES GEOPHYSICAE,"5,663",1.621,0.005860
6097,COMPTES RENDUS GEOSCIENCE,"2,228",1.621,0.002190
6097,Chemistry Education Research and Practice,"1,170",1.621,0.001660
6097,Chemistry Education Research and Practice,"1,170",1.621,0.001660
6097,PHYSICAL BIOLOGY,"1,827",1.621,0.004580
6102,AGEING & SOCIETY,"2,791",1.620,0.003040
6102,HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE,"1,568",1.620,0.002040
6102,PHOTOMEDICINE AND LASER SURGERY,"2,282",1.620,0.002170
6102,REVIEW OF ECONOMIC DYNAMICS,"1,500",1.620,0.008850
6102,SOCIOLOGICAL FORUM,"1,647",1.620,0.002270
